"","Area","Longitude","Latitude","HostSPP","BA","IndividualsPerHost","FasciculataPerHost","UtriculataPerHost"
"27.244706 -82.302206 ","CanopyWalkway",-82.302206,27.244706,"QUVI",4631.47726159148,5,4,1
"27.244719 -82.302339 ","CanopyWalkway",-82.302339,27.244719,"QUVI",2681.9540864247,1,1,0
"27.244753 -82.301817 ","CanopyWalkway",-82.301817,27.244753,"QUVI",11429.2554454291,3,3,0
"27.2448 -82.302358 ","CanopyWalkway",-82.302358,27.2448,"QULA",6095.95423900727,2,2,0
"27.244861 -82.302625 ","CanopyWalkway",-82.302625,27.244861,"QULA",1625.97054777357,8,8,0
"27.244886 -82.302431 ","CanopyWalkway",-82.302431,27.244886,"QUVI",3277.59219956369,1,1,0
"27.244958 -82.302519 ","CanopyWalkway",-82.302519,27.244958,"QUVI",1720.21047339963,2,1,1
"27.244958 -82.302597 ","CanopyWalkway",-82.302597,27.244958,"SAPA",784.267190042156,2,1,1
"27.245031 -82.302506 ","CanopyWalkway",-82.302506,27.245031,"QUVI",8741.73288602588,12,12,0
"27.245064 -82.302581 ","CanopyWalkway",-82.302581,27.245064,"QUVI",3298.05967570183,1,0,1
"27.245239 -82.302428 ","CanopyWalkway",-82.302428,27.245239,"QUVI",10954.4272777839,1,0,1
"27.245239 -82.302589 ","CanopyWalkway",-82.302589,27.245239,"QUVI",6532.50210016847,1,1,0
"27.245767 -82.301458 ","CanopyWalkway",-82.301458,27.245767,"QUVI",564.104376878583,5,5,0
"27.288567 82.249442 ","ClayGully",-82.249442,27.288567,"QULA",2419.22269280499,6,6,0
"27.288611 82.249603 ","ClayGully",-82.249603,27.288611,"QULA",660.519855417254,1,1,0
"27.288633 82.249575 ","ClayGully",-82.249575,27.288633,"QUVI",265.90440219984,1,1,0
"27.28865 -82.249408 ","ClayGully",-82.249408,27.28865,"QULA",2587.69845283538,1,1,0
"27.288686 82.249328 ","ClayGully",-82.249328,27.288686,"QULA",1006.59770213671,2,2,0
"27.288714 82.249814 ","ClayGully",-82.249814,27.288714,"QUVI",12831.6781139548,2,2,0
"27.288736 -82.249303 ","ClayGully",-82.249303,27.288736,"QUVI",2058.87416145661,1,1,0
"27.288736 82.249375 ","ClayGully",-82.249375,27.288736,"QULA",1847.45282985165,2,2,0
"27.288769 -82.249175 ","ClayGully",-82.249175,27.288769,"QUVI",19211.5930589384,5,5,0
"27.288783 82.249353 ","ClayGully",-82.249353,27.288783,"QU?",1200.72456618365,2,2,0
"27.288783 82.249506 ","ClayGully",-82.249506,27.288783,"QULA",451.957373127062,27,27,0
"27.288797 82.249411 ","ClayGully",-82.249411,27.288797,"QUVI",1006.59770213671,5,5,0
"27.288797 82.249478 ","ClayGully",-82.249478,27.288797,"QUVI",764.537988177612,3,3,0
"27.288856 82.249231 ","ClayGully",-82.249231,27.288856,"QUVI",2419.22269280499,4,4,0
"27.288889 -82.249147 ","ClayGully",-82.249147,27.288889,"QUVI",15735.020234678,8,8,0
"27.288892 -82.248892 ","ClayGully",-82.248892,27.288892,"QUVI",24328.4935093994,5,5,0
"27.288892 -82.249133 ","ClayGully",-82.249133,27.288892,"QUVI",2632.97665695524,1,1,0
"27.288914 -82.249106 ","ClayGully",-82.249106,27.288914,"QUVI",3504.63510063863,1,1,0
"27.288919 82.249603 ","ClayGully",-82.249603,27.288919,"QULA",1506.7392525882,2,2,0
"27.288956 82.249253 ","ClayGully",-82.249253,27.288956,"QULA",3892.5589615039,1,1,0
"27.288961 -82.248833 ","ClayGully",-82.248833,27.288961,"QULA",3211.98003699347,10,10,0
"27.288964 82.249389 ","ClayGully",-82.249389,27.288964,"QULA",363.05030103047,1,1,0
"27.288983 82.24955 ","ClayGully",-82.24955,27.288983,"QULA",834.689752132272,3,3,0
"27.28905 82.249181 ","ClayGully",-82.249181,27.28905,"QUVI",26076.0986707383,7,7,0
"27.289058 82.249056 ","ClayGully",-82.249056,27.289058,"QUVI",12627.8201666634,5,5,0
"27.289117 -82.248678 ","ClayGully",-82.248678,27.289117,"QULA",4790.62249144071,2,1,1
"27.289172 82.248842 ","ClayGully",-82.248842,27.289172,"QULA",NA,13,13,0
"27.289203 -82.248631 ","ClayGully",-82.248631,27.289203,"QULA",436.594985051007,5,5,0
"27.289208 82.249044 ","ClayGully",-82.249044,27.289208,"QULA",929.408770638004,1,1,0
"27.289264 82.248978 ","ClayGully",-82.248978,27.289264,"QULA",551.545860245858,7,7,0
"27.289278 -82.249314 ","ClayGully",-82.249314,27.289278,"QULA",1116.27855565516,4,4,0
"27.289306 -82.248614 ","ClayGully",-82.248614,27.289306,"QULA",3642.684535819,4,4,0
"27.289314 -82.248572 ","ClayGully",-82.248572,27.289314,"QULA",1839.84232164833,34,33,1
"27.289322 82.2488 ","ClayGully",-82.2488,27.289322,"QUVI",70845.0192055277,58,55,3
"27.289325 82.249064 ","ClayGully",-82.249064,27.289325,"QUVI",3717.63508255202,2,2,0
"27.289331 -82.249264 ","ClayGully",-82.249264,27.289331,"QUVI",10773.9349258535,14,14,0
"27.289386 -82.248558 ","ClayGully",-82.248558,27.289386,"QULA",1712.86700057186,1,1,0
"27.289428 -82.248661 ","ClayGully",-82.248661,27.289428,"SAPA",551.545860245858,1,0,1
"27.289494 -82.24865 ","ClayGully",-82.24865,27.289494,"QUVI",11232.9608824512,29,24,5
"27.2895 -82.248619 ","ClayGully",-82.248619,27.2895,"QULA",1206.87423380306,11,11,0
"27.2895 -82.249183 ","ClayGully",-82.249183,27.2895,"QULA",606.987116600084,1,0,1
"27.289606 -82.249203 ","ClayGully",-82.249203,27.289606,"QUVI",1513.6271944812,0,0,0
"27.289614 -82.248997 ","ClayGully",-82.248997,27.289614,"QULA",769.446726698846,2,2,0
"27.289614 -82.249206 ","ClayGully",-82.249206,27.289614,"QUVI",1749.74144434337,3,3,0
"27.290733 82.249328 ","ClayGully",-82.249328,27.290733,"QUVI",4572.34463386929,16,16,0
"27.291161 82.249092 ","ClayGully",-82.249092,27.291161,"QULA",1372.27908701456,3,3,0
